%													
#for correction of metFormula (and metCharges) to balance equation	"#Note: no changes are made to R groups in model.metFormulas, since R groups can represent any CnHn and modification may cause other reactions to have unbalanced R groups"												
#model.mets	model.metFormulas	new_metFormulas	model.metCharges	new_metCharges	refMNXMID	rxn/related rxn(s)	refMNXRID	elementdiff	Notes	MNXNotes	KEGGNotes	ChEBINotes	otherDatabaseNotes
s_0710[m]	C42H44FeN8O8S2R4	C42H45FeN8O8S2R4	0	[]	MNXM746	r_0001	MNXR138960	H2	s_0710[m]: changed metFormula C42H44FeN8O8S2R4 to C42H45FeN8O8S2R4 to balance equation	"| ferricytochrome c is reduced to form ferrocytochrome c, thus 2 H added to metFormula for ferrocytochrome"	[]	[]	[]
s_0250[p]	C39H68N7O18P3S	C39H64N7O18P3S	0	-4	MNXM513	r_0100	MNXR95204	H4	s_0250[p]: changed metFormula C39H68N7O18P3S to C39H64N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM513	[]	[]	[]
s_0243[p]	C47H84N7O18P3S	C47H80N7O18P3S	0	-4	MNXM36758	r_0101; r_2160	MNXR124343	H4	s_0243[p]: changed metFormula C47H84N7O18P3S to C47H80N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	[]	[]	[]	[]
s_0257[p]	C35H60N7O18P3S	C35H56N7O18P3S	0	-4	MNXM707	r_0105	MNXR95201	H4	s_0257[p]: changed metFormula C35H60N7O18P3S to C35H56N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM707	[]	[]	[]
s_0239[p]	C31H52N7O18P3S	C31H48N7O18P3S	0	-4	MNXM677	r_0106	MNXR95198	H4	s_0239[p]: changed metFormula C31H52N7O18P3S to C31H48N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM677	[]	[]	[]
s_0247[p]	C33H56N7O18P3S	C33H52N7O18P3S	0	-4	MNXM705	r_0107	MNXR95200	H4	s_0247[p]: changed metFormula C33H56N7O18P3S to C33H52N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM705	[]	[]	[]
s_1513[p]	C47H84N7O17P3S	C47H80N7O17P3S	0	-4	MNXM114303	r_0122; r_2181 (s_2815[erm])	MNXR124346	H-4	s_1513[p]: changed metFormula C47H84N7O17P3S to C47H80N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	[]	[]	[]	[]
s_0823[p]	C37H64N7O17P3S	C37H60N7O17P3S	0	-4	MNXM581	r_0123	MNXR95367	H-4	s_0823[p]: changed metFormula C37H64N7O17P3S to C37H60N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM581	[]	[]	[]
s_1516[p]	C39H68N7O17P3S	C39H64N7O17P3S	0	-4	MNXM954	r_0124	MNXR95368	H-4	s_1516[p]: changed metFormula C39H68N7O17P3S to C39H64N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM954	[]	[]	[]
s_0341[c]	C9H19N2O2	C9H21N2O2	-1	1	MNXM1140	r_0146	MNXR95806	H2	s_0341[c]: changed metFormula C9H19N2O2 to C9H21N2O2 to balance equation | changed metCharges -1 to 1 to balance equation	| based on metFormula in MNXM1140	[]	[]	[]
s_0389[c]	C10H14N5O7P	C10H12N5O7P	0	-2	MNXM7028	r_0155	MNXR117324	H-2	s_0389[c]: changed metFormula C10H14N5O7P to C10H12N5O7P to balance equation | changed metCharges 0 to -2 to balance equation	| based on metFormula in MNXM7028	[]	[]	[]
s_0404[c]	C3H6NOR	C3H7NOR	0	1	MNXM89576	r_0157	MNXR107903	[]	s_0404[c]: changed metFormula C3H6NOR to C3H7NOR to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID ALANINE--TRNA-LIGASE-RXN
s_1582[c]	R	RH	[]	0	MNXM89576	r_0157	MNXR107903	[]	s_1582[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID ALANINE--TRNA-LIGASE-RXN
s_1555[c]	C3H6N2O4	C3H5N2O4	0	-1	MNXM490	r_0189	MNXR95767	H-1	s_1555[c]: changed metFormula C3H6N2O4 to C3H5N2O4 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM490	[]	[]	[]
s_0414[g]	C38H68N2O27P2	C48H84N2O27P2	0	[]	MNXM41231	r_0192	MNXR109280	H2	s_0414[g]: changed C38H68N2O27P2 to C48H84N2O27P2 to balance equation	| based on metFormula in MNXM41231	[]	[]	[]
s_0444[g]	C32H58N2O22P2	C42H72N2O22P2	0	-2	MNXM1078	r_0192	MNXR109280	H2	s_0444[g]: changed metFormula C32H58N2O22P2 to C42H72N2O22P2 to balance equation | changed metCharges 0 to -2 to balance equation	| based on metFormula in MNXM1078	[]	[]	[]
s_0428[c]	C6H14N4OR	C6H15N4OR	0	2	MNXM89870	r_0209; r_0210	MNXR95950	[]	s_0428[c]: changed metFormula C6H14N4OR to C6H15N4OR to balance equation | changed metCharges 0 to 2 to balance equation	[]	[]	[]	| Reference to BioCycID ARGININE--TRNA-LIGASE-RXN
s_1583[c]	R	RH	0	[]	MNXM90751	r_0209; r_0210	MNXR95950	[]	s_1583[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID ARGININE--TRNA-LIGASE-RXN
s_0430[c]	C4H7N2O2R	C4H8N2O2R	0	1	MNXM89761	r_0212;r_0213	MNXR96064	[]	s_0430[c]: changed metFormula C4H7N2O2R to C4H8N2O2R to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID ASPARAGINE--TRNA-LIGASE-RXN
s_1585[c]	R	RH	0	[]	MNXM90665	r_0212;r_0213	MNXR96064	[]	s_1585[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID ASPARAGINE--TRNA-LIGASE-RXN
s_0295[c]	C4H5NO7P	C4H6NO7P	-3	-2	MNXM1177	r_0215; r_0219	MNXR96085	H1	s_0295[c]: changed metFormula C4H5NO7P to C4H6NO7P to balance equation | changed metCharges -3 to -2 to balance equation	| based on metFormula in MNXM1177	[]	[]	[]
s_0432[c]	C4H5NO3R	C4H6NO3R	0	[]	MNXM164570	r_0220; r_0221	MNXR96101	[]	s_0432[c]: changed C4H5NO3R to C4H6NO3R to balance equation	[]	[]	[]	| Reference to BioCycID ASPARTATE--TRNA-LIGASE-RXN
s_1587[c]	R	RH	0	[]	MNXM90752	r_0220; r_0221	MNXR96101	[]	s_1587[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID ASPARTATE--TRNA-LIGASE-RXN
s_1284[c]	C20H28N10O20P4	C20H24N10O20P4	0	-4	MNXM66180	r_0223	MNXR136085	H-4	s_1284[c]: changed metFormula C20H28N10O20P4 to C20H24N10O20P4 to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM66180	[]	[]	[]
s_0443[c]	C32H58N2O22P2	C42H72N2O22P2	0	-2	MNXM1078	r_0228	MNXR108930	C10H16	s_0443[c]: changed metFormula C32H58N2O22P2 to C42H72N2O22P2 to balance equation | changed metCharges 0 to -2 to balance equation	| based on metFormula in MNXM1078	[]	[]	[]
s_1184[c]	C36H64N2O17P2	C36H62N2O17P2	0	-2	MNXM63078	r_0228	MNXR108930	C10H16	s_1184[c]: changed metFormula C36H64N2O17P2 to C36H62N2O17P2 to balance equation | changed metCharges 0 to -2 to balance equation	| based on metFormula in MNXM63078	[]	[]	[]
s_1578[c]	C29H46O2	C28H43O3	0	-1	MNXM89471	r_0234; r_0240	[]	C1O-1H2	s_1578[c]: changed metFormula C29H46O2 to C28H43O3 to balance equation | changed metCharges 0 to -1 to balance equation	| based on BioCyc ID: RXN66-318 and CHEBI:143575	[]	[]	[]
s_0297[c]	C29H46O3	C29H45O3	0	-1	MNXM37762	r_0235	MNXR128630	H1	s_0297[c]: changed metFormula C29H46O3 to C29H45O3 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM37762	[]	[]	[]
s_1230[c]	C52H78O3	C52H77O3	0	-1	MNXM2847	r_0249	MNXR110956	H2	s_1230[c]: changed metFormula C52H78O3 to C52H77O3 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM2847	[]	[]	[]
s_1231[c]	C45H76O7P2	C45H73O7P2	0	-3	MNXM968	r_0249	MNXR110956	H2	s_1231[c]: changed metFormula C45H76O7P2 to C45H73O7P2 to balance equation | changed metCharges 0 to -3 to balance equation	| based on metFormula in MNXM968	[]	[]	[]
s_0469[c]	C14H26N4O11P2	C14H25N4O11P2	0	-1	MNXM283	r_0274	MNXR96686	H-1	s_0469[c]: changed metFormula C14H26N4O11P2 to C14H25N4O11P2 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM283	[]	[]	[]
s_0817[er]	C47H86N7O17P3S	C47H82N7O17P3S	0	-4	MNXM1190	r_0264; r_0266	MNXR110315	H4	s_0817[er]: changed metFormula C47H86N7O17P3S to C47H82N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	[]	[]	[]	[]
s_1480[er]	C45H82N7O17P3S	C45H78N7O17P3S	0	-4	MNXM1504	r_0265	MNXR126660	H4	s_1480[er]: changed metFormula C45H82N7O17P3S to C45H78N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	[]	[]	[]	[]
s_1366[er]	C18H39NO3	C18H40NO3	0	1	MNXM914	r_0266	MNXR110323	H3	s_1366[er]: changed metFormula C18H39NO3 to C18H40NO3 to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	[]
s_0510[ce]	C6H12NO4	C6H11NO4	0	[]	MNXM2106	r_0271	MNXR107444	H-1	s_0510[ce]: changed C6H12NO4 to C6H11NO4 to balance equation	| based on metFormula in bigg:chitos (linked to MNXM2106 as external resource)	[]	[]	[]
s_1312[lp]	C25H44O7P2	C25H41O7P2	0	-3	MNXM2210	r_0282	MNXR100137	H-3	s_1312[lp]: changed metFormula C25H44O7P2 to C25H41O7P2 to balance equation | changed metCharges 0 to -3 to balance equation	| based on metFormula in MNXM2210	[]	[]	[]
s_0815[lp]	C35H60O7P2	C35H57O7P2	0	-3	MNXM1722	r_0284; r_0285	MNXR100621	H-3	s_0815[lp]: changed metFormula C35H60O7P2 to C35H57O7P2 to balance equation | changed metCharges 0 to -3 to balance equation	| based on metFormula in MNXM1722	[]	[]	[]
s_0830[lp]	C30H52O7P2	C30H49O7P2	0	-3	MNXM1067	r_0284	MNXR100621	H-3	s_0830[lp]: changed metFormula C30H52O7P2 to C30H49O7P2 to balance equation | changed metCharges 0 to -3 to balance equation	| based on metFormula in MNXM1067	[]	[]	[]
s_1259[lp]	C40H68O7P2	C40H65O7P2	0	-3	MNXM811	r_0286	MNXR110950	H3	s_1259[lp]: changed metFormula C40H68O7P2 to C40H65O7P2 to balance equation | changed metCharges 0 to -3 to balance equation	| based on metFormula in MNXM811	[]	[]	[]
s_0606[lp]	C50H84O7P2	C50H81O7P2	0	-3	MNXM1721	r_0287	MNXR112246	H-3	s_0606[lp]: changed metFormula C50H84O7P2 to C50H81O7P2 to balance equation | changed metCharges 0 to -3 to balance equation	| based on metFormula in MNXM1721	[]	[]	[]
s_1549[lp]	C55H92O7P2	C55H89O7P2	0	-3	MNXM5043	r_0288	MNXR105052	H-3	"| deduced based on downstream reactions involved in dolichol and dolichyl phosphate synthesis - assumption that metFormula and metCharges for dolichol (uncharged), dolichyl phosphate (uncharged) and diphosphate (-3) in current version is correct"	| Reference to metFormula in MNXM5043	[]	[]	[]
s_0641[lp]	C60H100O7P2	C60H97O7P2	0	-3	MNXM11433	r_0289	[]	[]	"| deduced based on downstream reactions involved in dolichol and dolichyl phosphate synthesis - assumption that metFormula and metCharges for dolichol (uncharged), dolichyl phosphate (uncharged) and diphosphate (-3) in current version is correct"	| Reference to metFormula in MNXM11433	[]	[]	[]
s_1523[lp]	C65H108O7P2	C65H105O7P2	0	-3	MNXM5721	r_0290	[]	[]	"| deduced based on downstream reactions involved in dolichol and dolichyl phosphate synthesis - assumption that metFormula and metCharges for dolichol (uncharged), dolichyl phosphate (uncharged) and diphosphate (-3) in current version is correct"	| Reference to metFormula in MNXM5721	[]	[]	[]
s_1483[lp]	C70H116O7P2	C70H113O7P2	0	-3	MNXM83846	r_0291	[]	[]	"| deduced based on downstream reactions involved in dolichol and dolichyl phosphate synthesis - assumption that metFormula and metCharges for dolichol (uncharged), dolichyl phosphate (uncharged) and diphosphate (-3) in current version is correct"	| Reference to metFormula in MNXM83846	[]	[]	[]
s_1310[lp]	C75H124O7P2	C75H121O7P2	0	-3	MNXM73155	r_0292	[]	[]	"| deduced based on downstream reactions involved in dolichol and dolichyl phosphate synthesis - assumption that metFormula and metCharges for dolichol (uncharged), dolichyl phosphate (uncharged) and diphosphate (-3) in current version is correct"	| Reference to metFormula in MNXM73155	[]	[]	[]
s_0829[lp]	C80H132O7P2	C80H129O7P2	0	-3	MNXM56347	r_0293	[]	[]	"| deduced based on downstream reactions involved in dolichol and dolichyl phosphate synthesis - assumption that metFormula and metCharges for dolichol (uncharged), dolichyl phosphate (uncharged) and diphosphate (-3) in current version is correct"	| Reference to metFormula in MNXM56347	[]	[]	[]
s_0814[lp]	C85H140O7P2	C85H137O7P2	0	-3	MNXM56121	r_0294	[]	[]	"| deduced based on downstream reactions involved in dolichol and dolichyl phosphate synthesis - assumption that metFormula and metCharges for dolichol (uncharged), dolichyl phosphate (uncharged) and diphosphate (-3) in current version is correct"	| Reference to metFormula in MNXM56121	[]	[]	[]
s_1246[lp]	C90H148O7P2	C90H145O7P2	0	-3	MNXM65303	r_0295	[]	[]	"| deduced based on downstream reactions involved in dolichol and dolichyl phosphate synthesis - assumption that metFormula and metCharges for dolichol (uncharged), dolichyl phosphate (uncharged) and diphosphate (-3) in current version is correct"	| Reference to metFormula in MNXM65303	[]	[]	[]
s_1229[lp]	C95H156O7P2	C95H153O7P2	0	-3	MNXM64863	r_0296	[]	[]	"| deduced based on downstream reactions involved in dolichol and dolichyl phosphate synthesis - assumption that metFormula and metCharges for dolichol (uncharged), dolichyl phosphate (uncharged) and diphosphate (-3) in current version is correct"	| Reference to metFormula in MNXM64863	[]	[]	[]
s_0845[lp]	C100H164O7P2	C100H161O7P2	0	-3	MNXM57076	r_0297	[]	[]	"| deduced based on downstream reactions involved in dolichol and dolichyl phosphate synthesis - assumption that metFormula and metCharges for dolichol (uncharged), dolichyl phosphate (uncharged) and diphosphate (-3) in current version is correct"	| Reference to metFormula in MNXM57076	[]	[]	[]
s_0813[lp]	C105H172O7P2	C105H169O7P2	0	-3	MNXM56060	r_0298	[]	[]	"| deduced based on downstream reactions involved in dolichol and dolichyl phosphate synthesis - assumption that metFormula and metCharges for dolichol (uncharged), dolichyl phosphate (uncharged) and diphosphate (-3) in current version is correct"	| Reference to metFormula in MNXM56060	[]	[]	[]
s_0640[lp]	C110H180O7P2	C110H177O7P2	0	-3	MNXM51449	r_0299	[]	[]	"| deduced based on downstream reactions involved in dolichol and dolichyl phosphate synthesis - assumption that metFormula and metCharges for dolichol (uncharged), dolichyl phosphate (uncharged) and diphosphate (-3) in current version is correct"	| Reference to metFormula in MNXM51449	[]	[]	[]
s_0542[c]	C3H6NOSR	C3H7NOSR	0	1	MNXM155005	r_0313	MNXR97018	[]	s_0542[c]: changed metFormula C3H6NOSR to C3H7NOSR to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID CYSTEINE--TRNA-LIGASE-RXN
s_1589[c]	R	RH	[]	0	MNXM162355	r_0313	MNXR97018	[]	s_1589[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID CYSTEINE--TRNA-LIGASE-RXN
s_0556[c]	C6H13O9P	C6H11O9P	0	-2	MNXM1553	r_0322	MNXR99460	H2	s_0556[c]: changed metFormula C6H13O9P to C6H11O9P to balance equation | changed metCharges 0 to -2 to balance equation	[]	[]	[]	[]
s_1108[er]	C6H12O6	C6H10O5	0	[]	MNXM2020	r_0362	MNXR136057	O-1H-3	s_1108[er]: changed C6H12O6 to C6H10O5 to balance equation	| based on metFormula in bigg:mannan (linked to MNXM2020 as external resource)	[]	[]	[]
s_1309[e]	C6H8O6	C6H7O6	0	[]	MNXM107600	r_0365	[]	H1	s_1309[e]: changed C6H8O6 to C6H7O6 to balance equation	| based on metFormula in MNXM107600	[]	[]	[]
s_0555[c]	C6H14O12P2	C6H10O12P2	0	-4	MNXM500	r_0449	MNXR106670	H4	s_0555[c]: changed metFormula C6H14O12P2 to C6H10O12P2 to balance equation | changed metCharges 0 to -4 to balance equation	[]	[]	[]	[]
s_0987[c]	C8H14N2O5	C8H13N2O5	0	-1	MNXM59390	r_0457	MNXR100451	H-1	s_0987[c]: changed metFormula C8H14N2O5 to C8H13N2O5 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM59390	[]	[]	[]
s_1311[c]	C25H44O7P2	C25H41O7P2	0	-3	MNXM2210	r_0461	MNXR100137	H-3	s_1311[c]: changed metFormula C25H44O7P2 to C25H41O7P2 to balance equation | changed metCharges 0 to -3 to balance equation	| based on metFormula in MNXM2210	[]	[]	[]
s_0773[c]	C6H12O6	C6H10O5	0	[]	MNXM55375	r_0463; r_0464; r_0511	MNXR100180	O1H2	s_0773[c]: changed C6H12O6 to C6H10O5 to balance equation	| based on metFormula in bigg:glycogen (linked to MNXM55375 as external resource)	[]	[]	[]
s_0568[c]	C6H13O9P	C6H11O9P	0	-2	MNXM160	r_0467	MNXR106678	H2	s_0568[c]: changed metFormula C6H13O9P to C6H11O9P to balance equation | changed metCharges 0 to -2 to balance equation	[]	[]	[]	[]
s_0412[c]	C6H14NO8P	C6H13NO8P	0	-1	MNXM162238	r_0477; r_0760	MNXR95248	H1	s_0412[c]: changed metFormula C6H14NO8P to C6H13NO8P to balance equation | changed metCharges 0 to -1 to balance equation	[]	[]	[]	[]
s_0747[c]	C5H9N2O2R	C5H10N2O2R	0	1	MNXM89810	r_0478	MNXR100257	[]	s_0747[c]: changed metFormula C5H9N2O2R to C5H10N2O2R to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID GLUTAMINE--TRNA-LIGASE-RXN
s_1590[c]	R	RH	[]	0	MNXM71	r_0478	MNXR100257	[]	s_1590[c]: changed metFormula R to RH to balance equation | changed metCharges [] to 0 to balance equation	[]	[]	[]	| Reference to BioCycID GLUTAMINE--TRNA-LIGASE-RXN
s_0748[c]	C5H7NO3R	C5H8NO3R	0	[]	MNXM89752	r_0479; r_0480	MNXR100295	[]	s_0748[c]: changed C5H7NO3R to C5H8NO3R to balance equation	[]	[]	[]	| Reference to BioCycID GLURS-RXN
s_1591[c]	R	RH	0	[]	MNXM90886	r_0479; r_0480	MNXR100295	[]	s_1591[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID GLURS-RXN
s_1487[c]	C19H23N7O6	C19H21N7O6	0	-2	MNXM79	r_0502	MNXR100142	H2	s_1487[c]: changed metFormula C19H23N7O6 to C19H21N7O6 to balance equation | changed metCharges 0 to -2 to balance equation	[]	[]	[]	[]
s_1409[m]	C9H20N2OS2	C9H21N2OS2	0	1	MNXM81220	r_0504	MNXR100065	H1	s_1409[m]: changed metFormula C9H20N2OS2 to C9H21N2OS2 to balance equation | changed metCharges 0 to 1 to balance equation	| based on metFormula in MNXM81220	[]	[]	[]
s_1098[m]	C12H18N2O4S2R2	C8H14NOS2R	0	[]	MNXM998	r_0506; r_0508	MNXR100067	C4N2O3H6R1	s_1098[m]: changed C12H18N2O4S2R2 to C8H14NOS2R to balance equation	| based on metFormula in C02051	[]	[]	[]
s_1410[m]	C9H18NOS2R	C9H19N2OS2R	0	[]	MNXM81221	r_0506	MNXR100067	C4N2O3H6R1	s_1410[m]: changed C9H18NOS2R to C9H19N2OS2R to balance equation	| based on metFormula in C01242	[]	[]	[]
s_0628[m]	C8H15OS2R	C8H16NOS2R	0	[]	MNXM1663	r_0508	MNXR100069	C-4N-2O-3H-5R-1	s_0628[m]: changed C8H15OS2R to C8H16NOS2R to balance equation	| based on metFormula in MNXM1663	[]	[]	[]
s_0757[c]	C2H4NOR	C2H5NOR	0	1	MNXM89763	r_0512	MNXR100365	[]	s_0757[c]: changed metFormula C2H4NOR to C2H5NOR to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID GLYCINE--TRNA-LIGASE-RXN
s_1593[c]	R	RH	[]	0	MNXM90340	r_0512	MNXR100365	[]	s_1593[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID GLYCINE--TRNA-LIGASE-RXN
s_0331[er]	C19H29NO18PR2	C19H30NO18PR2	-1	0	MNXM999	r_0518	MNXR95257	H-1	s_0331[er]: changed metFormula C19H29NO18PR2 to C19H30NO18PR2 to balance equation | changed metCharges -1 to 0 to balance equation	| based on metFormula in C01288 and CHEBI:15935	[]	[]	[]
s_0812[m]	C49H58FeN4O5	C49H56FeN4O5	0	-2	MNXM1278	r_0530	MNXR100595	H1	s_0812[m]: changed metFormula C49H58FeN4O5 to C49H56FeN4O5 to balance equation | changed metCharges 0 to -2 to balance equation	| based on metFormula in MNXM1278	[]	[]	[]
s_0811[m]	C49H56FeN4O6	C49H55FeN4O6	0	-3	MNXM53309	r_0530	MNXR100595	H1	s_0811[m]: changed metFormula C49H56FeN4O6 to C49H55FeN4O6 to balance equation | changed metCharges 0 to -3 to balance equation	| based on metFormula in bigg:hemeA (linked to MNXM53309 as external resource)	[]	[]	[]
s_0832[c]	C6H8N3OR	C6H9N3OR	0	1	MNXM89831	r_0539; r_0540	MNXR100643	[]	s_0832[c]: changed metFormula C6H8N3OR to C6H9N3OR to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID HISTIDINE--TRNA-LIGASE-RXN
s_1594[c]	R	RH	0	[]	MNXM90878	r_0539; r_0540	MNXR100643	[]	s_1594[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID HISTIDINE--TRNA-LIGASE-RXN
s_0831[m]	C30H52O7P2	C30H49O7P2	0	-3	MNXM1067	r_0555	MNXR100569	H3	s_0831[m]: changed metFormula C30H52O7P2 to C30H49O7P2 to balance equation | changed metCharges 0 to -3 to balance equation	| based on metFormula in MNXM1067	[]	[]	[]
s_0218[c]	C27H44N7O20P3S	C27H39N7O20P3S	0	-5	MNXM36493	r_0558	MNXR107304	H5	s_0218[c]: changed metFormula C27H44N7O20P3S to C27H39N7O20P3S to balance equation | changed metCharges 0 to -5 to balance equation	[]	[]	[]	[]
s_0218[c]	C27H44N7O20P3S	C27H39N7O20P3S	0	-5	MNXM36493	r_0559; r_1840	MNXR107257	H-5	s_0218[c]: changed metFormula C27H44N7O20P3S to C27H39N7O20P3S to balance equation | changed metCharges 0 to -5 to balance equation	[]	[]	[]	[]
s_0221[m]	C27H44N7O20P3S	C27H39N7O20P3S	0	-5	MNXM36493	r_0560	MNXR107257	H-5	s_0221[m]: changed metFormula C27H44N7O20P3S to C27H39N7O20P3S to balance equation | changed metCharges 0 to -5 to balance equation	[]	[]	[]	[]
s_1111[er]	C12H21O14P	C12H23O14P	-2	0	MNXM61129	r_0599	[]	H2	s_1111[er]: changed metFormula C12H21O14P to C12H23O14P to balance equation | changed metCharges -2 to 0 to balance equation	"| metFormula in MNX database (C12H21O14P) with metCharge -2 is a conjugate base of mannose-1D-myo-inositol 1-phosphate (1-16:0, 2-18:1)(C12H23O14P)"	[]	| Changes based on metFormula in CHEBI:60448	[]
