#rxnMetaCycID	deltaG
1.1.1.283-RXN	2.293518
RXN-13930	-2.9058914
RXN-8495	-69.979996
RXN66-534	-0.7700043
RXN-14358	-0.37817383
RXN-16841	-3.6099854
RXN-11906	-50.329956
D-THREO-ALDOSE-1-DEHYDROGENASE-RXN	15.864044
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	-24.765076
1.97.1.11-RXN	[]
RXN-8945	-23.50238
RXN-19630	0.
RXN-17327	-3.6099854
RXN-11471	-0.37820435
RXN-14802	1.0817871
GLYCINE-N-ACYLTRANSFERASE-RXN	282.54718
2.5.1.25-RXN	-78.63782
1.1.3.38-RXN	-27.990005
RXN-2008	-91.900635
RXN-8519	-92.330505
RXN-17763	1.0818176
RXN-20105	-276.48407
MALYL-COA-LYASE-RXN	4.746399
RXN-14393	1.0817871
3.2.1.3-RXN	-58.881775
RXN-11934	1.6265411
RXN-20582	[]
TYROSINE--ARGININE-LIGASE-RXN	-20.555817
RXN-12393	-84.680115
RXN-8971	-81.007645
PRPPAMIDOTRANS-RXN	2.0541382
RXN-17356	4.3499756
RXN-9436	-11.26712
RXN-14825	5.649475
RXN-2462	21.99466
2.6.1.32-RXN	1.9000092
RXN-15291	-4.567108
RXN-17791	7.0600586
RXN-12869	-134.42825
MESO-TARTRATE-DEHYDROGENASE-RXN	11.201782
RXN-9990	-118.58179
3.2.1.65-RXN	[]
RXN-18219	5.677002
RXN-20609	[]
RXN-15772	-13.785881
RXN-12422	[]
3.5.1.70-RXN	[]
PYRIDINE-N-METHYLTRANSFERASE-RXN	-10.660004
RXN-18667	-2.8300781
RXN-9459	-3.742981
RXN-10423	4.1217957
RXN-2882	6.9669647
ALCOHOL-DEHYDROG-RXN	3.1017761
RXN-15318	1.525878900000e-5
RXN-641	[]
RXN-12898	-1.7164917
RXN-13389	-88.94092
RXN0-1603	-113.54883
RXN-10986	-8.6102295
RXN-18244	-95.8136
RXN0-7167	-34.270996
RXN-15801	-92.827
RXN-7929	9.082886
3.5.4.22-RXN	23.307
RXN-16258	-83.53418
RXN-18696	-1.1630096
RXN-13888	[]
RXN-10449	-14.115845
RXN66-475	332.69586
ALKYLGLYCEROL-KINASE-RXN	-4.544739
RXN-19113	-96.4093
RXN-6549	-109.03299
RXN-16792	-88.115906
RXN-13437	-779.4552
CYSTEINE-LYASE-RXN	30.428215
RXN-1101	7.9764404
1.5.1.20-RXN	21.654053
RXN0-7313	31.830017
RXN-19580	6.897644
RXN-7977	-85.39479
RXN-11429	-0.4630127
RXN-16288	3.2099915
GLUTAMINE--TRNA-LIGASE-RXN	-103.00342
RXN-13913	-4.360016
1.1.1.259-RXN	1.0817871
RXN66-501	-3.6329994
RXN-8478	8.847122
RXN-19142	-13.622253
RXN-14335	206.33997
RXN-16820	[]
RXN-11886	-22.202332
D-GLUTAMATE-CYCLASE-RXN	-0.10700226
TRANSALDOL-RXN	-2.920044
1.7.1.12-RXN	-12.522370
RXN-8923	-115.21572
RXN-19604	-0.46300507
RXN-17309	313.81058
RXN-11451	[]
RXN-14786	2.1629944
GLYCERATE-DEHYDROGENASE-RXN	1.441803
2.4.2.32-RXN	-0.62390137
1.1.1.43-RXN	-6.729309
RXN-20060	-94.05478
RXN-8503	-21.89003
RXN-17735	-13.038269
RXN-14367	0.8734741
MALEYLACETATE-REDUCTASE-RXN	2.0506592
RXN-11915	7.0908203
3.2.1.156-RXN	79.05597
TRYPSYN-RXN	11.682007
RXN-20566	[]
RXN-8954	-15.675232
RXN-12370	6.897583
RXN-17337	-25.736511
PROPIONLACT-RXN	-0.73999023
RXN-1481	8.660522
RXN-9421	-11.26712
2.5.1.5-RXN	[]
RXN-15263	-2.7170029
RXN-17775	7.65065
RXN-12850	-90.00226
MANNITOL-2-DEHYDROGENASE-RXN	1.0817871
RXN-9962	-48.329987
3.2.1.40-RXN	99.598206
RXN-18203	-1.8417683
RXN-20592	[]
RXN-15755	96.34305
RXN-12401	[]
3.4.24.73-RXN	-12.679367
PSII-RXN	[]
RXN-2207	-98.87747
RXN-9443	-11.26712
RXN-18650	0.8240051
RXN-2506	-14.097107
RXN-10136	-0.44823074
RXN-15300	-29.44999
AICARTRANSFORM-RXN	18.96
RXN-12877	12.11
RXN-6261	-7.135895
RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN	-4.0817566
RXN-13372	-13.6471405
RXN-18227	5.6770096
RXN-10970	-101.96472
RXN-15782	-6.862915
RXN0-7090	-102.32997
3.5.1.83-RXN	41.245605
RXN-16242	2.2934875
RXN-18675	-33.652267
RXN-13871	-5.50412
RXN-10431	-18.625854
RXN66-351	-1.550003
ALDEHYDE-OXIDASE-RXN	-31.816002
RXN-19091	-10.460007
RXN-645	19.457
RXN-16773	-27.73352
RXN-13413	-66.599976
CYCLOMALTODEXTRINASE-RXN	[]
RXN-10995	[]
1.3.3.9-RXN	-74.58173
RXN0-7230	-16.862232
RXN-7893	-76.96000
RXN-7947	7.2000732
RXN-19561	4.810009
RXN-16267	-8.890625
RXN-11414	-78.35475
RXN-13896	22.16217
GLUCURONATE-REDUCTASE-RXN	1.2935791
RXN66-484	-12.71167
1.1.1.217-RXN	-0.16644287
RXN-19122	-129.48221
RXN-8455	6.897583
RXN-16801	-88.11594
RXN-14309	-44.78002
CYTIKIN-RXN	-14.815857
RXN-11859	-41.18228
1.5.1.35-RXN	-11.764190
TRANS-CINNAMATE-2-MONOOXYGENASE-RXN	-91.90057
RXN-19588	-1.3329964
RXN-8899	-7.467125
RXN-11436	8.962880
RXN-1728	-77.12220
GLUTATHIONE-PEROXIDASE-RXN	-74.82816
RXN-14770	-46.50232
1.1.1.269-RXN	1.0818176
2.4.1.67-RXN	0.
RXN-8486	-20.507004
RXN-20042	-29.449997
RXN-14344	-152.63098
RXN-17717	13.951416
RXN-11897	5.424103
LYSINE-N-ACETYLTRANSFERASE-RXN	1.9799805
TRIMETAPHOSPHATASE-RXN	-234.99011
3.2.1.136-RXN	[]
RXN-8937	-4.360016
RXN-20550	[]
RXN-17318	-3.6100159
RXN-12348	-123.3568
RXN-14794	2.1629944
PROCOLLAGEN-GLUCOSYLTRANSFERASE-RXN	-95.81366
2.4.99.4-RXN	-156.19214
RXN-9406	-1.2218018
RXN-20068	-5.3371277
RXN-15245	-3.554123
RXN-17745	5.9687195
RXN-12834	-3.6400146
MALSYN-RXN	-9.251220
RXN-9932	-96.06636
3.2.1.165-RXN	-3.4016418
RXN-18186	1.4730072
RXN-20574	[]
RXN-15735	-85.394745
RXN-12381	-53.70233
3.4.24.59-RXN	[]
PROSTAGLANDIN-I-SYNTHASE-RXN	4.00e-2
RXN-21038	[]
RXN-9429	-0.37820435
RXN-1863	-3.113037
RXN-15278	-95.8136
RXN-10119	-53.632355
RXN-12859	113.69319
ADENYLOSUCCINATE-SYNTHASE-RXN	-103.56061
RXN-9980	-10.416977
RXN-6	53.81112
RXN-18211	-1.8417816
RXN-13338	-22.369976
RXN-15763	-14.351059
RXN-10953	7.2170105
3.5.1.27-RXN	-4.8571243
RXN0-7023	[]
RXN-2364	50.858215
RXN-16224	-8.166977
RXN-18658	-0.1665039
RXN-13850	6.897583
RXN-10246	-3.341751
RXN66-323	11.193497
ALANINE--TRNA-LIGASE-RXN	-75.950195
RXN-19067	-243.16217
RXN-6321	-9.488250
RXN-16751	-40.099014
RXN-13381	6.8978577
CROBETREDUCT-RXN	7.6507874
RXN-10978	-18.215332
1.3.1.29-RXN	-23.367187
RXN0-7119	1.2935181
RXN-7858	0.5240936
RXN-7910	-304.29468
RXN-19544	-2.6571274
RXN-16250	-4.567116
RXN-11397	-113.54883
RXN-13879	-13.542175
GLUCOSAMINE-KINASE-RXN	-13.567566
RXN66-360	-79.02525
1.1.1.170-RXN	-11.98526
RXN-19102	-17.749
RXN-8436	144.21127
RXN-16781	-4.0599976
RXN-14282	-3.113037
CYSTATHIONINE-BETA-LYASE-RXN	-2.6571121
RXN-11838	-13.899963
1.4.1.11-RXN	3.5587769
THYKI-RXN	-14.815857
RXN-19570	-1.3329983
RXN-17256	-12.71167
RXN-11421	-11.477013
RXN-14750	-4.360016
GLUTAMATE-DEHYDROGENASE-NADP+-RXN	-6.2005005
2.4.1.32-RXN	62.237427
1.1.1.247-RXN	-3.1764832
RXN-20020	-29.632324
RXN-8470	[]
RXN-17699	-137.3136
RXN-14320	-16.909973
LONG-CHAIN-ALDEHYDE-DEHYDROGENASE-RXN	-2.8342285
RXN-11875	22.872192
3.2.1.109-RXN	[]
TRANS-RXN-240	-105.69409
RXN-8880	9.767517
RXN-8911	-76.38
RXN-20531	[]
RXN-17288	-4.3600235
RXN-12327	-95.39
RXN-14778	2.163086
POLYSACCHARIDE-O-METHYLTRANSFERASE-RXN	-24.902283
2.4.1.88-RXN	-126.627075
RXN-9387	0.
RXN-2005	-6.3771973
RXN-15229	-110.90741
RXN-17725	9.536957
RXN-12811	-3.2200317
MACROCIN-O-METHYLTRANSFERASE-RXN	-4.3599854
RXN-9907	4.121765
3.2.1.146-RXN	99.358215
RXN-18170	-155.2727
RXN-20558	[]
RXN-15715	-10.826508
RXN-12359	-14.583984
3.4.24.43-RXN	-12.679367
PROLINE-RACEMASE-RXN	0.
RXN-21016	[]
RXN-9414	-93.320496
RXN-18606	-95.8136
RXN-15254	-114.084625
RXN-10101	8.505882
RXN-12842	-95.39
ACYLPYRUVATE-HYDROLASE-RXN	6.8951416
RXN-9947	28.685883
RXN-5647	5.9687347
RXN-18194	22.015228
RXN-13315	6.8975983
RXN-15744	1.2935181
RXN-10933	-15.902374
3.4.24.66-RXN	-12.679367
RXN0-6988	-6.683014
RXN-2163	-4.3600006
RXN-16201	-0.4630127
RXN-18637	0.
RXN-13826	-32.838837
RXN-10128	-93.66052
RXN66-303	-81.7847
ADP-RIBOSYLARGININE-HYDROLASE-RXN	200.6301
RXN-19048	-79.71744
RXN-6201	12.074127
RXN-16732	-103.56473
RXN-13346	-121.39287
COBINPGUANYLYLTRANS-RXN	-103.30353
RXN-10961	-1.8059082
1.2.1.9-RXN	-16.5318
RXN0-7068	[]
RXN-7826	1.0075684
RXN-16234	-32.666016
RXN-19524	-4.049988
RXN-13858	-52.835278
RXN-11378	38.842224
RXN66-343	9.643524
GERANYL-DIPHOSPHATE-CYCLASE-RXN	-47.96
RXN-19082	-119.21112
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	-5.7929687
RXN-16765	0.
RXN-8419	-61.689972
CYCLOEUCALENOL-CYCLOISOMERASE-RXN	5.6799927
RXN-14263	-51.991257
1.3.1.63-RXN	-3.392334
RXN-11812	-14.654053
RXN-7877	-83.59473
THIOL-OXIDASE-RXN	-8.207759
RXN-19553	4.8099976
RXN-17235	12.063521
RXN-11406	[]
RXN-14727	-6.507126
GLUCOSE-16-BISPHOSPHATE-SYNTHASE-RXN	-9.802368
2.4.1.228-RXN	-95.8136
1.1.1.196-RXN	-1.7164917
RXN-2	-22.922226
RXN-8444	-12.897095
RXN-17679	-117.40474
RXN-14290	-118.30707
LINB1-RXN	13.312875
RXN-11849	-93.1488
3.1.6.14-RXN	-62.26239
TIGLYLCOA-HYDROXY-RXN	1.6029663
RXN-8851	117.37012
RXN-17268	-2.4658813
RXN-20515	[]
RXN-14759	0.
RXN-12305	-2.4329834
2.4.1.45-RXN	-95.8136
PHTHALATE-45-DIOXYGENASE-RXN	-87.0018
RXN-2003	-1.7165527
RXN-9366	-20.64
RXN-17707	146.5798
RXN-15211	0.
LYSACET-RXN	-5.2900085
RXN-12788	-89.89879
3.2.1.124-RXN	[]
RXN-18153	-104.27177
RXN-20541	[]
RXN-15695	-9.707184
RXN-12339	491.9267
3.4.24.28-RXN	-12.679367
PRENYL-PYROPHOSPHATASE-RXN	-3.742981
RXN-20988	[]
RXN-9395	-93.320496
RXN-18586	-15.065979
RXN-15237	-108.408875
RXN-10085	-2.039917
RXN-12823	-45.22
ACONITATE-DECARBOXYLASE-RXN	-5.217636
RXN-9915	-121.630005
RXN-9893	-11.32412
RXN-18178	-104.60358
RXN-5466	7.52124
RXN-15724	-1.0899658
RXN-13298	-0.16644287
3.4.24.51-RXN	-12.679367
RXN-10913	-4.6130104
RXN-21025	[]
RXN0-6952	-13.038239
RXN-18617	-6.449997
RXN-16183	-93.61460
RXN-10109	12.761757
RXN-13809	20.120018
ADENOSYLHOMOCYSTEINASE-RXN	49.796005
RXN-19029	[]
RXN-5822	8.46521
RXN-16703	[]
RXN-13327	-27.282227
CINNAMYL-ALCOHOL-DEHYDROGENASE-RXN	-0.25646973
RXN-10943	19.699463
1.2.1.30-RXN	15.006348
RXN0-7008	-27.046364
RXN-7803	-129.6282
RXN-16211	-13.150010
RXN-19506	-17.377594
RXN-13842	-4.3599854
RXN-11360	-5.9959106
RXN66-314	-1.6265869
GCVMULTI-RXN	0.29180908
RXN-19057	-83.67474
RXN-8401	[]
RXN-16742	-82.77051
RXN-14247	-11.26712
CORTISONE-ALPHA-REDUCTASE-RXN	9.643524
RXN-11795	[]
1.20.99.1-RXN	[]
TETRAHYDROXYPTERIDINE-CYCLOISOMERASE-RXN	-35.444138
RXN-7843	-3.6100464
RXN-17206	-49.128906
RXN-19536	-4.6658936
RXN-14710	-112.30936
RXN-11388	-87.03476
2.4.1.209-RXN	6.897644
GLUCISOM-RXN	0.8600006
RXN-19981	12.063507
1.1.1.145-RXN	20.164032
RXN-17658	-105.64932
RXN-8428	-72.74997
LEUCINE-N-ACETYLTRANSFERASE-RXN	-6.584137
RXN-14273	2.1630554
3.1.4.2-RXN	3.7846527
RXN-11826	-0.30819702
RXN-8832	-72.63412
THREODEHYD-RXN	-0.25820923
RXN-20483	[]
RXN-17245	32.605774
RXN-12280	[]
RXN-14738	-92.76173
PHOSPHOADENYLYLSULFATASE-RXN	-43.845398
2.4.1.24-RXN	-657.12006
RXN-9347	[]
RXN-20008	11.221740
RXN-15188	-122.596466
RXN-17691	-7.3899994
RXN-12767	-23.569946
LINOLEOYL-RXN	-6.3771973
RXN-18133	[]
3.2.1.1-RXN	[]
RXN-15663	5.96875
RXN-8861	-178.09872
3.4.24.12-RXN	-12.679367
RXN-20523	[]
RXN-20967	[]
RXN-12319	6.8976135
RXN-18563	-1.6599731
PNP-RXN	98.81897
RXN-10057	0.461792
RXN-9376	-46.34662
ACETYL-COA-HYDROLASE-RXN	-7.8970947
RXN-15221	0.5200043
RXN-9876	15.881763
RXN-12802	-4.360016
RXN-5341	-3.1130066
RXN-18162	-89.83172
RXN-13280	-937.6146
RXN-15706	-20.042969
RXN-10897	1.1482391
3.4.24.35-RXN	-12.679367
RXN0-6720	9.207000
RXN-21004	[]
RXN-16162	1.6264648
RXN-18595	-16.064026
RXN-13791	-3.112976
RXN-10093	14.601807
RXN-19011	-191.62695
ACYL-LYSINE-DEACYLASE-RXN	132.43744
RXN-16667	-0.16653442
RXN-9901	-120.400024
CHOLINE-OXIDASE-RXN	-26.439995
RXN-5482	-12.27063
1.14.99.21-RXN	[]
RXN-13306	12.623474
RXN-7781	-16.909973
RXN-10925	4.5176697
RXN-19464	-76.51843
RXN0-6979	-0.54299927
RXN-11342	-8.384125
RXN-16192	-1.3330078
GALACTOSYLCERAMIDE-SULFOTRANSFERASE-RXN	18.416992
RXN-13818	6.897583
RXN66-163	-84.72476
RXN66-23	-11.315277
RXN-8368	-77.12213
RXN-19038	9.136997
RXN-14225	-20.0766
RXN-16712	0.
RXN-11777	7.2169952
CITRULLINASE-RXN	2.7369976
TAUROPINE-DEHYDROGENASE-RXN	-14.0312195
1.2.1.54-RXN	-12.481201
RXN-17183	-4.360031
RXN-7813	-16.909973
RXN-14694	[]
RXN-19516	-17.953552
2.4.1.188-RXN	6.8976135
RXN-11370	-31.002262
RXN-19962	-3.6100006
GDPPYPHOSKIN-RXN	-7.6882935
RXN-17640	-94.53882
+-SABINOL-DEHYDROGENASE-RXN	1.2518005
LACTATE-ALDOLASE-RXN	6.3099976
RXN-8411	[]
3.1.3.66-RXN	0.6906738
RXN-14255	-6.377136
RXN-8814	-88.115906
RXN-11804	-1478.6113
RXN-20438	[]
THIAMIN-TRIPHOSPHATASE-RXN	-103.21301
RXN-12261	-39.48
RXN-17223	-0.1665802
PHOSACETYLTRANS-RXN	-7.2700195
RXN-14719	-3.440094
RXN-9316	-37.889053
2.4.1.218-RXN	6.897644
RXN-15133	-2.7670898
RXN-19990	-13.130005
RXN-12750	1.0817871
RXN-17670	2.541809
RXN-18113	0.26823425
LICODIONE-2-O-METHYLTRANSFERASE-RXN	-4.3600006
RXN-15646	[]
3.1.4.44-RXN	4.4087524
3.4.23.31-RXN	-12.679367
RXN-8841	-1.841774
RXN-20943	[]
RXN-20507	[]
RXN-18536	-378.20404
RXN-12296	-12.623505
RXN-10041	-1.0871353
PHOSPHOKETOLASE-RXN	-20.057007
ACETOACETATE--COA-LIGASE-RXN	-8.241700
RXN-9358	-16.385864
RXN-9858	-76.8018
RXN-15199	-11.414856
RXN-5165	1.6264343
RXN-12778	-29.359999
RXN-13247	312.02765
RXN-18142	-97.67176
RXN-10881	-41.182266
RXN-15672	-6.2869873
RXN0-6541	-17.312378
3.4.24.20-RXN	-12.679367
RXN-16146	-4.360016
RXN-20980	[]
RXN-13769	-38.649994
RXN-18571	-2.4658813
RXN-18995	[]
RXN-10075	-105.592354
RXN-16649	50.89258
ACETYLPUTRESCINE-DEACETYLASE-RXN	-3.2312317
CHLORIDAZON-CATECHOL-DIOXYGENASE-RXN	-75.61236
RXN-9885	2.0506592
1.14.13.91-RXN	-85.034775
RXN-5441	[]
RXN-7755	8.351685
RXN-13289	-6.7282104
RXN-19440	-53.796265
RXN-10905	-6.424141
RXN-11319	-47.847656
RXN0-6733	-112.3006
FUSARININE-C-ORNITHINESTERASE-RXN	-12.414139
RXN-16171	-95.68182
RXN66-104	-40.350006
RXN-13799	6.897827
RXN-8351	[]
RXN-19021	-40.62622
RXN-14205	-109.40192
RXN-16687	954.07495
RXN-11758	-24.902252
CHONDROITIN-4-SULFOTRANSFERASE-RXN	18.416992
SULFOCYS-RXN	10.515870
1.17.1.1-RXN	-0.36242676
RXN-17161	-52.729965
RXN-7793	-95.8136
RXN-14678	-80.835266
RXN-19486	0.
2.4.1.153-RXN	-0.6240845
RXN-11350	6.897705
RXN-19938	-5.2382812
GALPMUT-RXN	0.24
RXN-17623	-91.19880
RXN66-170	-42.13699
L-LYSINE-OXIDASE-RXN	-22.962997
RXN-8386	-112.430756
3.1.26.8-RXN	[]
RXN-14237	-90.44641
RXN-8795	13.613632
RXN-11787	-42.08711
RXN-20422	[]
TEICHOICSYN3-RXN	-15.90239
RXN-12243	6.920044
RXN-17198	-1.3588829
PHENOL-O-METHYLTRANSFERASE-RXN	-1.8100052
RXN-14702	6.897583
RXN-9296	-111.05414
2.4.1.197-RXN	6.897583
RXN-15116	-27.73352
RXN-19972	-13.830002
RXN-12733	[]
RXN-17648	-105.64932
RXN-18093	5.3958817
LAMINARIBIOSE-PHOSPHORYLASE-RXN	-10.330017
RXN-15623	-80.835266
3.1.30.1-RXN	[]
3.4.23.17-RXN	[]
RXN-8824	-25.348877
RXN-20922	[]
RXN-20449	[]
RXN-18516	-54.06012
RXN-12270	-3.1130066
RXN-10014	-119.20593
PHOSPHATE-BUTYRYLTRANSFERASE-RXN	9.76001
6.4.1.6-RXN	-12.666077
RXN-9338	65.54242
RXN-9841	-10.649368
RXN-15142	8.275887
RXN-5107	-44.04001
RXN-12758	-14.84
RXN-13228	-43.202267
RXN-18123	-103.34176
RXN-10859	-46.428825
RXN-15654	-6.2347717
RXN0-6484	[]
3.4.23.41-RXN	-12.679367
RXN-16130	2.1630363
RXN-20953	[]
RXN-13741	-33.660004
RXN-18554	-1.6600342
RXN-18978	-4.2999725
RXN-10049	-9.947136
RXN-16612	-3.113037
ACETOLACTREDUCTOISOM-RXN	-0.16644287
CEPHALOSPORIN-C-DEACETYLASE-RXN	-4.287094
RXN-9868	16.73877
RXN-7738	-3.3913574
RXN-525	-86.488884
RXN-19418	6.6828613
RXN-13262	-130.96814
RXN-11298	-4.831787
RXN-10889	-96.97823
FPPSYN-RXN	-13.
RXN0-6565	-6.5782166
RXN4FS-13	0.
RXN-16154	-0.16644287
RXN-8327	-73.37753
RXN-13779	-0.37820435
RXN-14186	-20.001118
RXN-19003	-156.8164
RXN-11741	-6.377136
RXN-16658	13.979920
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	-15.76944
CHOLATE--COA-LIGASE-RXN	-12.71167
RXN-17138	-73.99699
1.14.19.3-RXN	-73.37753
RXN-14657	-39.48001
RXN-7772	0.
2.4.1.125-RXN	52.088806
RXN-19452	-49.5282
RXN-19916	5.7500305
RXN-11331	19.133545
RXN-17605	3.230072
GALACTOLIPID-O-ACYLTRANSFERASE-RXN	0.
L-ARABINONATE-DEHYDRATASE-RXN	-8.166992
RXN66-144	[]
RXN-8779	-2.65
RXN-8360	-73.37756
RXN-20404	[]
RXN-14215	-6.8130493
RXN-12227	-24.902222
RXN-11769	3.1899872
PEPTIDYLAMIDOGLYCOLATE-LYASE-RXN	9.331116
TAGATOSE-KINASE-RXN	-14.815857
RXN-9278	-91.90048
RXN-17174	-26.300018
RXN-15095	-33.69107
RXN-14686	-0.33288574
RXN-12714	[]
2.4.1.165-RXN	-126.627075
3.1.22.4-RXN	[]
RXN-19948	[]
RXN-18075	18.256996
RXN-17631	-32.073357
RXN-15598	-24.577637
L-XYLOSE-1-DEHYDROGENASE-RXN	-7.48645
3.4.22.43-RXN	-12.679367
3.1.27.9-RXN	[]
RXN-20900	[]
RXN-8806	-91.19880
RXN-18499	-5.9711914
RXN-20430	[]
RNTRACTIV-RXN	-17.658913
RXN-12254	[]
6.2.1.34-RXN	-12.711792
PHENYLALANINE-N-ACETYLTRANSFERASE-RXN	-7.4641113
RXN-9824	6.897583
RXN-9307	-13.105316
RXN-5001	6.8976135
RXN-15124	-28.44
RXN-13205	0.
RXN-12742	11.193512
RXN-10836	-6.484741
RXN-18104	-91.90051
RXN0-6367	-15.036438
RXN-15631	-10.757019
RXN-16112	-0.16644287
3.4.23.24-RXN	-12.679367
RXN-13721	-6.3771973
RXN-20932	[]
RXN-18962	[]
RXN-18526	0.8041096
RXN-16585	-200.25208
RXN-10031	2.46
CATECHOL-2-3-DIOXYGENASE-RXN	-72.63413
ABEQUOSYLTRANSFERASE-RXN	-95.8136
RXN-7693	2.541809
RXN-9850	5.249878
RXN-19399	-126.62695
RXN-5123	-3.6399841
