#model.rxns	grpCont_deltaG	grpCont_uncertainty	grpCont_lnRevIdx	MetaCyc_deltaG	MetaCyc_rxnDirection	MetaCyc_lnRevIdx	SEED_deltaG	SEED_uncertainty	SEED_lnRevIdx	SEED_rxnDirection	memote_revIdx	model_rxnDirection	Action	New_model.lb	Notes
r_0030	3.09	0.5417	2.6076	-1.8418	-1.5543	>	4.05	1.05	3.4178	>	-9.827	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0035	[]	[]	[]	[]	[]	[]	-10.4	1.02	-8.7766	>	-17.4126	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0038	-20.78	0.5971	-31.3517	[]	[]	[]	-20.06	0.5	-30.7441	>	-26.5449	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0039	-8.477	0.975	-16.4461	-20.177	-29.6109	=	-1.26	0.5	-8.3255	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0040	-16.934	1.1292	-25.9619	-6.1518	-13.8298	>	-35.92	1.49	-47.3249	>	-39.7996	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0041	3.76	1.0797	9.4462	-0.1665	6.7954	>	4.29	0.24	9.804	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0042	-12.177	0.9875	-1.3132	-7.153	2.0786	=	-17.48	0.57	-4.8933	>	-13.988	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0043	[]	[]	[]	[]	[]	[]	-53.17	0.89	-89.7403	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0044	-0.1	0.6619	-0.0844	0.5242	0.4423	>	-2.66	0.8	-2.2448	>	-7.5699	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0045	-12.813	0.5606	-15.5581	-14.1871	-16.4858	>	-12.1	0.51	-15.0767	>	-19.1873	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0057	[]	[]	[]	1.0818	-6.1774	>	4.44	0.24	-3.9102	<	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0058	-72.0097	1.6216	-74.1175	[]	[]	[]	-59.93	1.53	-60.5254	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0060	0.053	0.8965	-6.8481	0.053	-6.8481	=	-1.18	0.45	-8.2355	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0061	6.22	1.0951	-2.7085	3.5418	-4.5166	>	4.44	0.24	-3.9102	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0062	[]	[]	[]	-3.4659	-2.9248	>	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0063	-1.473	1.8562	5.9133	[]	[]	[]	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0064	-4.09	0.5959	-3.4515	-3.4659	-2.9249	>	-2.78	0.75	-2.346	>	-7.993	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0065	0.796	0.6765	0.6717	5.1959	4.3848	=	-3.96	0.55	-3.3418	<	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0066	-7.19	0.5742	-6.0676	-2.0559	-1.735	=	-3.79	0.74	-3.1984	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0067	-36.97	1.6379	-45.0145	-30.9241	-39.9124	>	-20.97	1.86	-31.5121	>	-21.1253	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0068	-1	0.352	-0.8439	0.3241	0.2735	=	1.55	0.36	1.308	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0069	-2.317	0.7356	-1.9553	7.217	6.0904	>	-3.3	0.3	-2.7849	=	-8.3685	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0070	-5.757	1.2073	-10.7944	-6.3771	-11.2131	>	-5.54	0.35	-10.6479	>	-11.1841	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0072	[]	[]	[]	-3.4659	-2.9249	>	-3.04	0.98	-2.5655	>	-7.7858	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0073	-6.817	0.7176	-11.51	-0.5719	-7.2939	>	-7.1	0.31	-11.7011	>	-12.3308	=	Change to irreversible forward	0	Hydrolysis of high-energy diphosphate bond should be irreversible | deltaG from all sources are negative | All reversibility indexes calculated from deltaG are highly negative | Reaction directions from MetaCyc and SEED are irreversible forward
r_0075	1.584	0.969	1.3367	32.709	27.6031	>	2.69	0.71	2.2701	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0077	-2.317	0.7356	-1.9553	7.217	6.0904	>	-1.29	0.45	-1.0886	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0080	3.79	1.9314	9.4665	[]	[]	[]	[]	[]	[]	[]	-7.8498	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0081	2.156	1.1938	1.213	6.1506	3.4603	>	3.81	1.01	2.1435	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0082	-6.817	0.7176	-11.51	-0.5719	-7.2939	>	-7.1	0.31	-11.7011	>	-12.3308	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0085	-6.406	1.2711	-5.406	-6.41	-5.4094	=	-10.7	1.43	-9.0297	=	-14.6566	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0086	-8.167	0.6934	-16.0973	-8.167	-16.0972	>	-10	0.3	-18.1597	>	-16.9068	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0087	0.62	1.3015	1.0464	0.62	1.0464	>	-2.56	0.59	-4.3208	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0091	-5.483	1.4208	-4.6271	-7.3554	-6.2073	>	-5.31	0.4	-4.4811	=	-8.4462	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0092	-6.817	0.7176	-11.51	-0.5719	-7.2939	>	-7.1	0.31	-11.7011	>	-12.3308	=	Change to irreversible forward	0	Hydrolysis of high-energy diphosphate bond should be irreversible | deltaG from all sources are negative | All reversibility indexes calculated from deltaG are highly negative | Reaction directions from MetaCyc and SEED are irreversible forward
r_0094	2.156	1.1938	1.213	6.0306	3.3928	>	3.58	0.91	2.0141	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0097	10.53	0.7303	8.8863	[]	[]	[]	8.27	0.9	6.979	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0099	[]	[]	[]	-20.5422	-17.3356	=	[]	[]	[]	[]	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0100	[]	[]	[]	[]	[]	[]	-7.66	0.45	-6.4643	=	-7.031	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0102	7.056	1.0874	5.9546	7.0599	5.9579	>	7.19	0.32	6.0676	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0103	7.056	1.0874	1.0317	7.0601	1.0362	=	6.02	0.21	-0.1341	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0104	7.056	1.0874	1.0317	7.0601	1.0362	=	6.02	0.21	-0.1341	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0105	[]	[]	[]	7.0599	5.9579	>	7.19	0.32	6.0676	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0106	7.056	1.0874	5.9546	7.0601	5.958	>	7.19	0.32	6.0676	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0107	7.056	1.0874	5.9546	7.0599	5.9579	>	7.19	0.32	6.0676	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0111	-7.297	1.3065	-11.8341	-7.8971	-12.2392	>	-7.3	0.13	-11.8361	>	-12.6711	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0116	[]	[]	[]	8.4652	7.1438	>	-4.04	0.7	-3.4094	=	-12.1377	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0117	[]	[]	[]	[]	[]	[]	0	0	0	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0118	-1	0.352	-0.8439	0.3241	0.2735	=	-0.99	0.81	-0.8355	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0119	[]	[]	[]	-10.2454	-13.8246	=	-8.35	0.71	-12.545	>	-14.3892	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0120	[]	[]	[]	[]	[]	[]	-17.46	1.06	-14.7345	>	-14.158	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0121	[]	[]	[]	[]	[]	[]	-17.46	1.06	-14.7345	>	-14.158	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0123	[]	[]	[]	[]	[]	[]	-16.98	1.12	-14.3294	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0124	[]	[]	[]	[]	[]	[]	-17.46	1.06	-14.7345	>	-14.1599	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0125	[]	[]	[]	[]	[]	[]	-17.46	1.06	-14.7345	>	-14.158	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0127	[]	[]	[]	-3.61	-3.0465	>	[]	[]	[]	[]	[]	=	Change to irreversible forward	0	"Reference to MetaCyc ID RXN-15134 and pathway (sterol:steryl ester interconversion (yeast)), inferred that reaction should be irreversible as reversible reaction would lead to possible cycling of metabolites in the pathway | deltaG from MetaCyc is negative | Reversibility index calculated from deltaG is negative | Reaction direction from MetaCyc is irreversible forward"
r_0129	[]	[]	[]	-3.61	-3.0465	>	[]	[]	[]	[]	[]	=	Change to irreversible forward	0	"Reference to MetaCyc ID RXN-15132 and pathway (sterol:steryl ester interconversion (yeast)), inferred that reaction should be irreversible as reversible reaction would lead to possible cycling of metabolites in the pathway | deltaG from MetaCyc is negative | Reversibility index calculated from deltaG is negative | Reaction direction from MetaCyc is irreversible forward"
r_0138	-8.483	1.3152	1.1807	-5.593	3.1318	>	-5.3	0.39	3.3296	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0140	-8.483	1.3152	1.1807	-49.792	-26.7078	>	-5.49	0.18	3.2013	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0144	5.673	1.1036	4.7874	49.796	42.0228	>	8.79	0.58	7.4179	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0145	-3.09	0.5417	-2.6076	-3.7141	-3.1343	>	-5.47	0.75	-4.6161	>	-10.6152	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0146	2.46	0.183	2.076	2.46	2.076	=	-0.14	0	-0.1181	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0151	7.34	0.933	1.3512	9.8365	4.1603	=	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0155	[]	[]	[]	-179.5113	-151.4895	>	-7.68	0.72	-6.4811	>	-13.7126	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0156	-1.46	0.3007	-1.2321	-0.83	-0.7004	=	-1.96	0.4	-1.654	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0159	[]	[]	[]	-3.42	-2.8861	>	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0160	[]	[]	[]	[]	[]	[]	-0.9	0.51	-0.7595	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0162	[]	[]	[]	-3.61	-3.0465	>	-0.9	0.51	-0.7595	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0163	5.78	1.2626	-3.0056	3.1018	-4.8137	=	5.03	0.08	-3.5119	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0164	5.22	1.0698	10.4319	6.1135	11.0351	=	9.31	0.49	13.1931	=	-8.1878	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0165	5.78	1.2626	10.8099	3.1018	9.0018	=	5.03	0.08	10.3036	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0166	[]	[]	[]	2.5418	8.6238	>	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0167	[]	[]	[]	2.5418	8.6238	>	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0169	5.22	1.0698	10.4319	2.5418	8.6238	=	4.89	0.24	10.2091	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0170	5.22	1.0698	10.4319	2.5418	8.6238	=	4.89	0.24	10.2091	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0171	[]	[]	[]	1.2935	7.781	>	-4.89	0.25	3.6064	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0172	-9.803	1.1761	-5.5152	-12.4812	-7.0219	=	9.54	1.46	5.3672	=	-8.4519	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0173	-11.993	1.358	-6.7473	-16.5236	-9.2962	>	-11.48	0.32	-6.4586	>	-9.2813	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0174	-11.993	1.358	-6.7473	-15.2753	-8.5939	>	-11.48	0.31	-6.4586	>	-9.481	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0175	-11.993	1.358	-6.7473	-16.5236	-9.2962	>	-11.48	0.32	-6.4586	>	-9.2813	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0176	-9.803	1.1761	-5.5152	-13.1053	-7.3731	>	-8.68	0.26	-4.8834	=	-7.4693	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0177	[]	[]	[]	[]	[]	[]	-8.67	0.27	-4.8777	=	-7.2697	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0178	[]	[]	[]	[]	[]	[]	-8.67	0.27	-4.8777	=	-7.2697	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0179	5.22	1.0698	10.4319	2.5418	8.6238	=	4.89	0.24	10.2091	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0180	5.22	1.0698	10.4319	2.5418	8.6238	=	4.89	0.24	10.2091	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0181	5.22	1.0698	10.4319	[]	[]	[]	4.89	0.25	10.2091	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0182	[]	[]	[]	2.5418	8.6238	=	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
