r_0001,D_LACDcm
r_0913,PRAIi
r_0914,PRAGSr
r_0915,GLUPRT
r_0916,PRPPS
r_0917,PSP_L
r_0918,PSERT
r_0929,POLYAO
r_0935,PPBNGS
r_0936,POLYAO2
r_0937,POLYAO3
r_0938,PPNDH
r_0939,PPND2
r_0941,PROTRS_1
r_0942,PPPGOm
r_0943,PNP
r_0949,PUNP3
r_0950,PUNP3m
r_0951,PUNP5
r_0953,PYDXO
r_0954,PYAM5PO
r_0955,PDX5POi
r_0956,PYDXNO
r_0957,P5CR
r_0958,PC
r_0959,PYRDC
r_0960,PYRDC2
r_0961,PDHm
r_0962,PYK
r_0965,RBFK
r_0966,RBFKm
r_0967,RBFSa
r_0968,RBFSb
r_0969,RBK
r_0970,RNTR1
r_0971,RNTR3
r_0972,RNTR2
r_0973,RNTR4
r_0974,RNDR1
r_0975,RNDR1n
r_0976,RNDR3
r_0977,RNDR3n
r_0978,RNDR2
r_0979,RNDR2n
r_0982,RPI
r_0983,RNMK
r_0984,RPE
r_0985,3DH5HPBMTm
r_0986,SAM24MT
r_0987,SFGTHi
r_0988,SACCD2
r_0989,SACCD1
r_0990,FBA3
r_0992,SERAT
r_0995,SERTRS
r_0996,SHK3Dr
r_0997,SHKK
r_0998,SHCHD2
r_0999,SHCHF
r_1001,SPMS
r_1002,SPRMS
r_1003,SGPL11r
r_1004,SBPP2er
r_1005,SBPP1er
r_1009,ACONIs
r_1010,SQLErx
r_1011,SQLEr
r_1012,SQLS
r_1021,SUCD2_u6m
r_1022,SUCOASm
r_1023,SSALy
r_1024,SUCRe
r_1025,SADT
r_1026,SLFAT
r_1027,SULR
r_1029,TAUDO
r_1030,THFATm
r_1031,THFGLUS
r_1032,THMDPe
r_1033,THMPe
r_1034,TMDPK
r_1035,TMDPPK
r_1036,TMPPP
r_1037,THIORDXni
r_1038,TRDR
r_1039,TRDRm
r_1040,THRA
r_1041,THRS
r_1042,THRTRS
r_1043,THRTRSm
r_1045,TMDS
r_1046,ACONMT
r_1047,PPTTm
r_1048,TALA
r_1049,TKT1
r_1050,TKT2
r_1051,TRE6PP
r_1054,TPI
r_1055,TRPS1
r_1056,TRPTA
r_1057,TRPTRS
r_1058,TRPTRSm
r_1063,TYRTA
r_1065,TYRTAip
r_1066,TYRTRS
r_1067,TYRTRSm
r_1068,ERGSTGLCT
r_1070,UDPG4E
r_1071,UGLT
r_1072,UMPK
r_1073,UMPKn
r_1074,UPPRT
r_1075,UREASE
r_1076,UGLYCH
r_1077,URIK1
r_1078,URIK2
r_1079,URIDK2r
r_1080,URIDK2rn
r_1081,UPPDC1
r_1082,UPP3MT
r_1083,UPP3S
r_1084,GALUi
r_1087,VALTA
r_1088,VALTAim
r_1089,VALTRS
r_1090,VALTRSm
r_1091,XPPT
r_1092,XYLTD_D
r_1093,XYLR
r_1094,XYLK
r_1619,NTD9
r_2029,PYDXNK
r_2115,ALCD2ir
r_2118,araphe3
r_2131,ICDHym
r_2142,3OAS40_m
r_2145,3OAR40_m
r_2146,3OAR60_m
r_2149,3HAD61_m
r_2206,FACOAL161p
r_2233,HXCOAx
r_2236,HMR_3102
r_2237,HMR_3098
r_2241,HMR_3062
r_2248,ECOAH4p
r_2249,ECOAH5p
r_2250,ECOAH6p
r_2251,ECOAH7p
r_2252,HMR_3075
r_2266,HACD4p
r_2267,HACD5p
r_2268,HACD7p
r_2269,HMR_3076
r_2283,ACACT1x
r_2284,ACACT2
r_2285,ACACT3
r_2286,HMR_3073
r_2287,HMR_3069
r_2288,HMR_3065
r_2297,FAOXC121x
r_2305,ACONTb
r_3121,PIP3P_HDE_HDE_c
r_4045,URIH
r_1096,MEV_Rt
r_1097,BTDt_RR
r_1098,2MBACt
r_1099,2OXOADPTm
r_1100,3DH5HPBtm
r_1101,ABUTt2r
r_1102,5AOPt2
r_1104,8AONNt2
r_1106,ACtr
r_1108,ADEt2
r_1109,ADNt2
r_1110,ATPtm
r_1111,ATPtp_H
r_1112,AKGCITtm
r_1113,ALLTTti
r_1114,ALLTNti
r_1115,NH4t
r_1116,ATP2tp_H
r_1118,ASPGLU2m
r_1119,BTNt2i
r_1120,CRNCARtm
r_1125,CHLt2
r_1126,CITtam
r_1127,CITtbm
r_1128,CITtcm
r_1129,COAtim
r_1131,CTPtm
r_1132,CYTDt2
r_1133,CSNt2
r_1134,FRUt2
r_1135,GALt2
r_1136,D_LACt2
r_1137,D_LACtm
r_1138,D_LACt2m
r_1139,MANt2
r_1146,EPISTt
r_1147,ERGSTt
r_1149,ETHAt
r_1151,FADH2tm
r_1161,FECOSTt
r_1164,r0963
r_1165,GDPMANNtg
r_1166,GLCt1
r_1167,GTHRDt2
r_1169,G3PIt
r_1170,G3PCt
r_1171,GLYCt2
r_1172,GLYCt
r_1173,GLYt2r
r_1174,GLCNtv
r_1175,GTPt2m
r_1176,GUAt2r
r_1177,INSTt2
r_1178,FE2t
r_1179,FE2utm
r_1180,IAMACt
r_1181,IBUTACt
r_1182,IPDPtm
r_1183,ALAt2r
r_1184,ARGt2r
r_1185,ARGt6
r_1186,ASNt2r
r_1187,ASNt6
r_1188,ASNt7
r_1189,ASPt7
r_1190,ASPt2r
r_1191,CRNt
r_1192,CYSt2r
r_1193,LCYSTintv
r_1194,GLUt7m
r_1195,GLUt7
r_1196,GLUt2r
r_1197,GLNt6
r_1198,GLNt7
r_1199,GLNt2r
r_1200,HISt6
r_1201,HISt2r
r_1203,ILEt6
r_1204,ILEt7
r_1205,ILEt2r
r_1206,L_LACtcm
r_1207,L_LACt2r
r_1209,LEUt6
r_1210,LEUt7
r_1211,LEUt2r
r_1212,LYSt6
r_1213,LYSt2r
r_1214,METt2r
r_1215,PHEt2r
r_1216,PROt2r
r_1217,SERt2r
r_1218,THRt2r
r_1219,TRPt2r
r_1221,TYRt6
r_1222,TYRt7
r_1223,TYRt2r
r_1224,VALt2r
r_1225,LANOSTt
r_1226,MALtm
r_1227,MALTt2
r_1229,NADtm
r_1235,NACt
r_1237,ORNt3m
r_1238,ORNt2r
r_1239,OAAt2m
r_1241,PNTOt2
r_1242,PENDPtm
r_1243,PHEACt
r_1244,PIt2r
r_1245,PIt2m
r_1249,Kt2r
r_1250,PTRCtex2
r_1251,PTRCt3i
r_1254,PYRt2
r_1255,AMETt2
r_1256,AMETtm
r_1257,MMETt2
r_1258,NAt3_1
r_1259,SPMDtex2
r_1260,SPMDt3i
r_1262,SPRMt2i
r_1264,SUCCtm
r_1265,SUCFUMtm
r_1266,SO4ti
r_1267,SO3ti
r_1268,TAURt
r_1269,THMPPt2m
r_1270,THMt2
r_1271,UDPGALt2g
r_1272,URAt2
r_1273,UREA2t2
r_1274,URIt2
r_1276,UTPtm
r_1277,H2Ot
r_1657,ARGt2m
r_2034,PYRt2m
r_2079,TREt2
r_2132,AKGMALtm
r_2221,FA160COAabcp_1
r_2223,STCOATxc
r_2226,DOCOSCOAtxc
r_2227,LGNCCOAtcx_1
r_1542,EX_13BDglcn_e
r_1545,EX_crn_e
r_1546,EX_lac__D_e
r_1547,EX_mev__R_e
r_1548,EX_pnto__R_e
r_1549,EX_btd_RR_e
r_1550,EX_3mop_e
r_1551,EX_lac__L_e
r_1552,EX_mal__L_e
r_1553,EX_g3pi_e
r_1554,EX_pchol_cho_e
r_1563,EX_dad_2_e
r_1564,EX_dgsn_e
r_1565,EX_din_e
r_1566,EX_duri_e
r_1567,2DDA7Ptm
r_1568,2DHPtm
r_1572,EX_3c3hmp_e
r_1573,3C3HMPt
r_1574,3C3HMPtm
r_1575,2MBTOHt
r_1576,2MBTOHtm
r_1577,EX_2mbald_e
r_1578,2MBALDt
r_1579,2MBALDtm
r_1580,EX_2mbtoh_e
r_1581,EX_2mbac_e
r_1582,2MPPALt
r_1583,2MPPALtm
r_1585,2OBUTtm
r_1586,EX_akg_e
r_1589,EX_2phetoh_e
r_1590,2PHETOHt
r_1591,2PHETOHtm
r_1595,3C4MOPtm
r_1596,3MOPtm
r_1597,3MOPt
r_1598,EX_3mbald_e
r_1599,3MBALDt
r_1600,3MBALDtm
r_1601,3OPHB_5tm
r_1603,AHMMPS
r_1604,EX_4abz_e
r_1605,4ABZt
r_1606,4ABZtm
r_1607,4ABUTNtm
r_1608,4ABUTtm
r_1609,4H2OGLTtm
r_1610,4H2OGLTtp
r_1611,4HBZtm
r_1613,NTD7
r_1614,NTD6
r_1615,NTD3
r_1616,NTD8
r_1617,NTD5
r_1618,NTD1
r_1620,NTD10
r_1621,EX_5aop_e
r_1622,5AOPtm
r_1623,FTHFCLm
r_1624,FTHFI
r_1625,EX_5fthf_e
r_1627,EX_dann_e
r_1629,EX_8aonn_e
r_1630,EX_xan_e
r_1631,EX_acald_e
r_1632,ACALDtm
r_1633,ACALDt
r_1634,EX_ac_e
r_1637,ACCOAtn
r_1638,ACRNtp
r_1639,EX_ade_e
r_1640,ADEtm
r_1641,EX_pap_e
r_1642,PAPtm
r_1643,EX_adn_e
r_1647,AKGtp
r_1648,EX_alltt_e
r_1649,EX_alltn_e
r_1650,EX_tre_e
r_1651,EX_gam6p_e
r_1652,AKGMAL
r_1654,EX_nh4_e
r_1656,AMPtn
r_1658,ASNtm
r_1659,ASPGLUtp
r_1660,ATPtn
r_1663,EX_hco3_e
r_1664,HCO3Em
r_1665,HCO3En
r_1667,HCO3E
r_1668,HCO3Ee
r_1669,HCO3tn
r_1671,EX_btn_e
r_1672,EX_co2_e
r_1673,CRNtp
r_1674,CRNCARtp
r_1675,CDPtn
r_1682,CHLSTI
r_1683,EX_chol_e
r_1685,CHRPL
r_1687,EX_cit_e
r_1688,CITtcp
r_1689,CITtap
r_1690,CMPN
r_1691,CO2ter
r_1694,CO2tn
r_1695,CO2tp
r_1696,CO2tm
r_1697,CO2t
r_1698,COAtr
r_1699,COAtn
r_1700,COAtp
r_1702,EX_cytd_e
r_1703,CYTK1
r_1704,CYTK2
r_1705,EX_csn_e
r_1706,EX_arab__D_e
r_1707,ARAB_Dt
r_1708,E4Ptm
r_1709,EX_fru_e
r_1710,EX_gal_e
r_1711,EX_galur_e
r_1712,EX_sbt__D_e
r_1713,GAM6Pt
r_1714,EX_glc__D_e
r_1715,EX_man_e
r_1716,EX_rib__D_e
r_1717,SBT_Dt
r_1718,EX_xyl__D_e
r_1719,XYLt
r_1720,DADPtn
r_1721,DCDPtn
r_1722,ATPHs
r_1723,DATPHs
r_1726,DNADtn
r_1727,EX_dca_e
r_1728,DADNt4
r_1729,DADK
r_1730,EX_dcyt_e
r_1731,DCYTt
r_1732,DGSNt
r_1733,DINt
r_1734,DURIK1
r_1735,DURIt
r_1736,DPCOAK
r_1737,DGDPtn
r_1738,DHNPTtm
r_1739,DIAT
r_1743,DHFtm
r_1744,DNTPPA
r_1745,DHPTtm
r_1746,DHAPtm
r_1747,PPItx
r_1748,DOLP_ter
r_1749,EX_dttp_e
r_1750,DTTPt
r_1751,DUDPtn
r_1752,DUMPtn
r_1753,EX_epist_e
r_1754,ERGTETROLter
r_1757,EX_ergst_e
r_1758,ERGSTter
r_1761,EX_etoh_e
r_1762,ETOHt
r_1763,ETOHtm
r_1764,EX_etha_e
r_1766,FRDPtm
r_1770,FA100tp
r_1771,FA120tp
r_1772,FA140tp
r_1774,FA160tp
r_1775,FA161tp
r_1776,FA80tp
r_1777,TTDCAtr
r_1788,EX_fecost_e
r_1790,FMNATm
r_1791,EX_fmn_e
r_1792,EX_fol_e
r_1793,EX_for_e
r_1794,FORtm
r_1795,FORt
r_1796,FUMtr
r_1797,FRUK
r_1798,EX_fum_e
r_1800,EX_4abut_e
r_1801,GDPtg
r_1802,GDPtn
r_1805,GLCtv
r_1806,EX_gthox_e
r_1807,EX_gthrd_e
r_1808,EX_glyc_e
r_1809,GLYC3Ptm
r_1810,EX_gly_e
r_1811,GLYtm
r_1812,GCALDtm
r_1813,GCALDt
r_1814,EX_gcald_e
r_1815,EX_glx_e
r_1816,GLXt
r_1817,GLXtp
r_1818,EX_gua_e
r_1819,GUAtm
r_1820,EX_gsn_e
r_1821,GSNK
r_1822,GSNtm
r_1823,GSNt
r_1824,Ht
r_1825,Htr
r_1826,Htg
r_1829,HMR_1095
r_1830,Htx
r_1832,EX_h_e
r_1835,HDCAt
r_1836,HDCEAt
r_1839,H2O2tn
r_1840,HMGCOAtm
r_1841,EX_hxan_e
r_1842,HYXNt
r_1843,EX_id3acald_e
r_1844,ID3ACALDtm
r_1845,ID3ACALDt
r_1846,IND3ACtm
r_1847,EX_ins_e
r_1848,INSt
r_1849,MINOHPtn
r_1850,INSK
r_1861,EX_fe2_e
r_1862,EX_iamac_e
r_1863,IAMOHt
r_1864,IAMOHtm
r_1865,EX_iamoh_e
r_1866,EX_ibutoh_e
r_1867,EX_ibutac_e
r_1868,IBUTOHt
r_1869,IBUTOHtm
r_1870,EX_2mppal_e
r_1871,PHCHGSm
r_1872,AOBUTDs
r_1873,EX_ala__L_e
r_1874,ALAtmi
r_1875,EX_abt_e
r_1876,ABTt
r_1877,ARAB_Lt
r_1878,EX_arab__L_e
r_1879,EX_arg__L_e
r_1880,EX_asn__L_e
r_1881,EX_asp__L_e
r_1882,CRNtim
r_1883,EX_cys__L_e
r_1884,E4HGLUtm
r_1885,E4HGLUtp
r_1886,EX_sbt__L_e
r_1887,G5SADs
r_1889,EX_glu__L_e
r_1891,EX_gln__L_e
r_1893,EX_his__L_e
r_1895,r2535
r_1896,EX_hom__L_e
r_1897,EX_ile__L_e
r_1898,ILEtmi
r_1899,EX_leu__L_e
r_1900,EX_lys__L_e
r_1901,MALt
r_1902,EX_met__L_e
r_1903,EX_phe__L_e
r_1904,EX_pro__L_e
r_1905,PROtm
r_1906,EX_ser__L_e
r_1908,SBT_Lt
r_1909,EX_srb__L_e
r_1910,SRB_Lt
r_1911,EX_thr__L_e
r_1912,EX_trp__L_e
r_1913,EX_tyr__L_e
r_1914,EX_val__L_e
r_1915,EX_lanost_e
r_1916,EX_ddca_e
r_1930,MALOAAtp
r_1931,EX_malt_e
r_1932,MANNANter
r_1935,METtm
r_1936,MGSA
r_1947,EX_inost_e
r_1963,NADPtru
r_1964,NADPHtru
r_1965,NH4tm
r_1967,EX_nac_e
r_1968,EX_nmn_e
r_1970,NMNtn
r_1972,NMNP
r_1974,NDP4
r_1975,NTP4
r_1976,ACRNtm
r_1977,O2ter
r_1978,O2tm
r_1979,O2t
r_1980,O2tp
r_1981,OCDCAt
r_1984,EX_octa_e
r_1987,EX_orn_e
r_1988,OAAt
r_1989,EX_oaa_e
r_1990,GTHOXti
r_1991,TRDOXtp
r_1992,EX_o2_e
r_1993,EX_hdca_e
r_1994,EX_hdcea_e
r_1995,PMTCOAFABP1tc
r_1996,PAN4Ptm
r_1997,PTPATim
r_1998,PAPt
r_1999,EX_pectin_e
r_2000,EX_pheac_e
r_2001,EX_pacald_e
r_2002,PACALDt
r_2003,PACALDtm
r_2005,EX_pi_e
r_2020,EX_k_e
r_2022,PPPG9tm
r_2023,PRPPtm
r_2024,EX_ptrc_e
r_2025,PYDXK
r_2026,PYDAMK
r_2027,HYPOE
r_2028,EX_pydxn_e
r_2030,PMDPHT
r_2031,PYNP2r
r_2032,PPItm
r_2033,EX_pyr_e
r_2036,QULNtm
r_2037,TRDRDtp
r_2038,EX_ribflv_e
r_2039,RIBFLVtm
r_2040,r1106
r_2041,RIBt
r_2042,AHCYStm
r_2043,EX_amet_e
r_2044,EX_mmet_e
r_2045,r1435
r_2046,EX_g3pc_e
r_2049,EX_na1_e
r_2050,SPMDAT1
r_2051,EX_spmd_e
r_2052,EX_sprm_e
r_2053,SQLter
r_2054,SQ23EPXter
r_2055,EX_ocdca_e
r_2056,EX_succ_e
r_2057,SUCCt
r_2058,EX_sucr_e
r_2060,EX_so4_e
r_2061,EX_so3_e
r_2062,EX_taur_e
r_2064,THMP
r_2065,TMN
r_2066,EX_thmpp_e
r_2067,EX_thm_e
r_2068,EX_thmmp_e
r_2069,TMPK
r_2070,THZPSN2_SC
r_2071,THZPSN1_SC
r_2072,thr_mt
r_2073,EX_thymd_e
r_2074,TMDK1
r_2075,THYMDt1
r_2083,EX_ind3eth_e
r_2084,IND3ETHt
r_2085,IND3ETHtm
r_2086,r1078
r_2089,UMPtn
r_2090,EX_ura_e
r_2091,EX_urea_e
r_2092,EX_uri_e
r_2093,VALt5m
r_2094,H2Oter
r_2095,H2Otg
r_2096,H2Otm
r_2097,H2Otn
